DETAILED TRIAL RESULTS - bayesian_tuning
==================================================
Objective: Minimize Averge Energy 

Trial  | Time(s)  | Avg Energy  | Perplexity  | Combined Loss | n_embed | block_size | heads | blocks | Ts(E/A/LA/F1/F2/O)   | LR       | Warmup | Dropout | Bias 
52     | 12.9     | 0.594480    | 1132.1854   | 0.594480    | 112     | 448        | 2     | 1      | 13/3/10/13/13/3      |3.21e-04 | 139    | 0.105   | False
53     | 12.6     | 0.583599    | 1079.1973   | 0.583599    | 112     | 448        | 2     | 1      | 14/3/10/13/11/3      |5.31e-04 | 140    | 0.111   | False
54     | 37.9     | 0.647898    | 970.1332    | 0.647898    | 144     | 480        | 4     | 2      | 14/3/12/12/11/4      |6.90e-04 | 160    | 0.177   | False
55     | 12.6     | 0.601906    | 1141.3935   | 0.601906    | 112     | 448        | 4     | 1      | 11/3/9/14/10/3       |2.30e-04 | 88     | 0.127   | False
56     | 76.6     | 2.097170    | 212.9262    | 2.097170    | 512     | 416        | 4     | 1      | 12/7/12/13/14/5      |1.40e-03 | 113    | 0.152   | False
57     | 23.0     | 0.637610    | 1103.0748   | 0.637610    | 80      | 432        | 4     | 2      | 14/4/10/12/7/4       |4.47e-04 | 194    | 0.098   | False
58     | 12.7     | 0.650267    | 1095.8033   | 0.650267    | 176     | 496        | 4     | 1      | 10/3/8/14/9/3        |2.85e-04 | 125    | 0.198   | False
59     | 49.4     | 0.665876    | 968.6539    | 0.665876    | 112     | 240        | 2     | 3      | 5/3/11/11/12/3       |1.10e-03 | 99     | 0.062   | False
60     | 20.1     | 0.656768    | 1041.7429   | 0.656768    | 128     | 352        | 2     | 2      | 9/4/9/9/10/4         |6.64e-04 | 247    | 0.479   | False
61     | 13.0     | 0.613006    | 1169.6046   | 0.613006    | 112     | 448        | 2     | 1      | 13/3/10/13/13/3      |1.70e-04 | 147    | 0.120   | False
62     | 13.0     | 0.573589    | 1084.8068   | 0.573589    | 96      | 480        | 2     | 1      | 14/3/10/13/14/3      |5.53e-04 | 134    | 0.083   | False
63     | 12.3     | 0.571764    | 1118.1641   | 0.571764    | 80      | 480        | 2     | 1      | 14/3/8/12/14/3       |5.23e-04 | 174    | 0.016   | False
64     | 22.2     | 0.625991    | 1084.0808   | 0.625991    | 64      | 480        | 2     | 2      | 14/3/8/12/14/3       |8.25e-04 | 169    | 0.011   | False
65     | 21.8     | 0.637658    | 1133.6564   | 0.637658    | 80      | 512        | 2     | 2      | 14/3/6/14/14/3       |5.08e-04 | 227    | 0.056   | False
66     | 11.1     | 0.578592    | 1072.2865   | 0.578592    | 96      | 480        | 2     | 1      | 11/3/7/12/12/3       |6.22e-04 | 131    | 0.018   | False
67     | 127.1    | 0.703414    | 1079.8432   | 0.703414    | 96      | 480        | 2     | 9      | 11/3/8/12/12/3       |5.76e-04 | 132    | 0.019   | False
68     | 10.2     | 0.583060    | 1166.5925   | 0.583060    | 96      | 64         | 2     | 1      | 14/3/9/3/12/3        |3.68e-04 | 327    | 0.000   | False
69     | 17.5     | 0.768979    | 1126.6043   | 0.768979    | 272     | 128        | 4     | 1      | 7/4/9/3/12/3         |3.52e-04 | 410    | 0.007   | False
